sku,barcode,product_name,brand,category,subcategory,pack_size,unit,supplier,min_sell_price,notes,source_file,cost_price,sell_price,sell_price_credit
,056327073937,Molson Canadian (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
,056327007949,Molson Canadian (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,17.79,
,062067335358,Budweiser (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
,062067335389,Budweiser (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,17.49,
,056327263932,Carling Ice (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
,620707101970,Laker Red (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,056327004146,Carling Lager (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,056327016224,Carling Lager (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,14.89,
,056910406470,Pabst Blue Ribbon 5.9% (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,056910414734,Pabst Blue Ribbon 5.9% (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,14.91,
,062067376191,Busch Ice 6.0% (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.59,
,062067423222,Busch Ice 6.0% (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,15.49,
,062067351358,Labatt Blue (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,062067380624,Labatt Blue (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,14.9,
,062067860539,Lowenbrau Original (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,062067423246,Lowenbrau Original (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,14.9,
,,DAB Original (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,15.37,
,056910401338,Old Milwaukee (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,056910401345,Old Milwaukee (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,13.99,
,056910402502,Old Milwaukee Ice (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,056910402540,Old Milwaukee Ice (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,13.99,
,070310001578,Laker Lager (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,620707554462,Laker Lager (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,13.99,
,,Heineken Lager (330 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,,Heineken Lager (330 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,20.49,
,070310001707,Laker Ice (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,620707106586,Laker Ice (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,12.74,
,062067423529,Busch Bullet (222 ml × 4 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,5.49,
,,Guinness Draught Stout (440 ml × 4 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,14.98,
,,Guinness Draught Stout (440 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.79,
,056910605002,Sapporo Premium (500 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.89,
,056910605064,Sapporo Premium (500 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,14.99,
,5741000500057,Faxe Amber Lager (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,056327183933,Coors Light (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
